PHYS_GROUP,REQUEST,PROJECT,DESCRIPTION,TASKID,KEYWORDS,TASKNAME,TASK_STATUS,CONTAINER_TYPE,CONTAINER_NAME,TAG_NAME,TRF_NAME,TRF_RELEASE,CAMPAIGN,SUBCAMPAIGN
EGAM,11031,mc16_13TeV,E/gamma Single particles with 21.0.16,10728458,"ParticleGun, egamma, mc16campaign, photon, singleParticle",mc16_13TeV.423001.ParticleGun_single_photon_egammaET.recon.e3566_s3007_r9117,finished,AOD,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.recon.AOD.e3566_s3007_r9117/,r9117,Reco_tf.py,21.0.16,MC16,MC16a
EGAM,11031,mc16_13TeV,E/gamma Single particles with 21.0.16,10730728,"ParticleGun, egamma, mc16campaign, photon, singleParticle",mc16_13TeV.423001.ParticleGun_single_photon_egammaET.merge.e3566_s3007_r9117_r9128,finished,AOD,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.merge.AOD.e3566_s3007_r9117_r9128/,r9128,AODMerge_tf.py,21.0.16,MC16,MC16a
EGAM,9388,mc16_13TeV,Priority 0+ econstruction of mc16 single particles for MVA calibration and tuning of converted photons,9708140,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s2955_r8655,done,AOD,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.AOD.e3566_s2955_r8655/,r8655,Reco_tf.py,21.0.8,MC16,MC16a
EGAM,9388,mc16_13TeV,Priority 0+ econstruction of mc16 single particles for MVA calibration and tuning of converted photons,9708140,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s2955_r8655,done,RDO,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.RDO.e3566_s2955_r8655/,r8655,Reco_tf.py,21.0.8,MC16,MC16a
EGAM,9388,mc16_13TeV,Priority 0+ econstruction of mc16 single particles for MVA calibration and tuning of converted photons,9708192,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s2955_r8656,done,AOD,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.AOD.e3566_s2955_r8656/,r8656,Reco_tf.py,21.0.8,MC16,MC16a
EGAM,9388,mc16_13TeV,Priority 0+ econstruction of mc16 single particles for MVA calibration and tuning of converted photons,9730560,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s2955_r8668,done,AOD,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.AOD.e3566_s2955_r8668/,r8668,Reco_tf.py,21.0.8,MC16,MC16a
EGAM,9388,mc16_13TeV,Priority 0+ econstruction of mc16 single particles for MVA calibration and tuning of converted photons,9824718,,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.recon.e3566_s2955_r8726,done,AOD,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.recon.AOD.e3566_s2955_r8726/,r8726,Reco_tf.py,21.0.8,MC16,MC16a
EGAM,9388,mc16_13TeV,Priority 0+ econstruction of mc16 single particles for MVA calibration and tuning of converted photons,9824718,,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.recon.e3566_s2955_r8726,done,RDO,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.recon.RDO.e3566_s2955_r8726/,r8726,Reco_tf.py,21.0.8,MC16,MC16a
EGAM,9474,mc16_13TeV,Priority 0+ simulation of single-particles,9742146,,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.simul.e3566_s3007,finished,HITS,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.simul.HITS.e3566_s3007/,s3007,Sim_tf.py,20.3.7.3,MC16,MC16a
EGAM,9474,mc16_13TeV,Priority 0+ simulation of single-particles,10236499,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s3007_r8940,done,AOD,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.AOD.e3566_s3007_r8940/,r8940,Reco_tf.py,21.0.12,MC16,MC16a
EGAM,9474,mc16_13TeV,Priority 0+ simulation of single-particles,10236499,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s3007_r8940,done,RDO,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.RDO.e3566_s3007_r8940/,r8940,Reco_tf.py,21.0.12,MC16,MC16a
EGAM,9474,mc16_13TeV,Priority 0+ simulation of single-particles,10429501,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s3007_r9007,finished,AOD,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.AOD.e3566_s3007_r9007/,r9007,Reco_tf.py,21.0.13,MC16,MC16a
EGAM,9474,mc16_13TeV,Priority 0+ simulation of single-particles,10527752,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s3007_r9028,finished,AOD,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.AOD.e3566_s3007_r9028/,r9028,Reco_tf.py,21.0.14,MC16,MC16a
EGAM,9474,mc16_13TeV,Priority 0+ simulation of single-particles,10527769,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.merge.e3566_s3007_r9028_r9039,finished,AOD,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.merge.AOD.e3566_s3007_r9028_r9039/,r9039,AODMerge_tf.py,21.0.14,MC16,MC16a
EGAM,9474,mc16_13TeV,Priority 0+ simulation of single-particles,10684896,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s3007_r9103,finished,AOD,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.AOD.e3566_s3007_r9103/,r9103,Reco_tf.py,21.0.15,MC16,MC16a
IDTR,11678,mc16_13TeV,Min Bias Samples for Tracking Efficiency recommendations,11223120,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.e4981_s3126_r9375,done,AOD,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.AOD.e4981_s3126_r9375/,r9375,Reco_tf.py,21.0.20,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11174751,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.e4981_s3155,done,HITS,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.HITS.e4981_s3155/,s3155,Sim_tf.py,21.0.15,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11174754,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.e4981_s3156,done,HITS,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.HITS.e4981_s3156/,s3156,Sim_tf.py,21.0.15,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11174758,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.e4981_s3157,done,HITS,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.HITS.e4981_s3157/,s3157,Sim_tf.py,21.0.15,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11315879,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.e4981_s3155_r9470,done,AOD,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.AOD.e4981_s3155_r9470/,r9470,Reco_tf.py,21.0.20,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11315887,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.e4981_s3156_r9468,done,AOD,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.AOD.e4981_s3156_r9468/,r9468,Reco_tf.py,21.0.20,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11315895,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.e4981_s3157_r9469,done,AOD,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.AOD.e4981_s3157_r9469/,r9469,Reco_tf.py,21.0.20,MC16,MC16a
IDTR,10260,mc16_13TeV,Single nu with full pile-up truth in MC16,10429677,,mc16_13TeV.159000.ParticleGenerator_nu_E50.recon.e3711_s2997_r9008,done,AOD,mc16_13TeV.159000.ParticleGenerator_nu_E50.recon.AOD.e3711_s2997_r9008/,r9008,Reco_tf.py,21.0.13,MC16,MC16a
IDTR,11920,mc16_13TeV,ttbar MC16 sample with Final 2017 Endcap Pixel condition,11257211,,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9413,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9413/,r9413,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11448,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra Pixel analog threshold tuning for 2017,11007870,,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9257,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9257/,r9257,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11448,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra Pixel analog threshold tuning for 2017,11007872,,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9258,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9258/,r9258,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11448,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra Pixel analog threshold tuning for 2017,11007876,,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9259,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9259/,r9259,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11000,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra threshold points,10730575,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9121,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9121/,r9121,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11000,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra threshold points,10730575,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9121,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9121/,r9121,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803456,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9165,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9165/,r9165,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803456,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9165,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9165/,r9165,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803464,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9166,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9166/,r9166,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803464,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9166,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9166/,r9166,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803471,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9167,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9167/,r9167,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803471,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9167,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9167/,r9167,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803477,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9168,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9168/,r9168,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803477,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9168,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9168/,r9168,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803482,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9169,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9169/,r9169,Reco_tf.py,21.0.11,MC16,MC16a
